id_zona;id_motivo;quantidade_viagens_produzidas;quantidade_viagens_produzidas_motivo_no_destino;quantidade_viagens_atraidas;quantidade_viagens_atraidas_motivo_no_destino
19;8;495;0;495;495
19;9;1133;361;880;772
19;10;291;291;291;291
20;1;2157;945;2157;1213
20;2;2527;1830;2527;697
20;3;19595;11492;19586;8104
20;4;10607;7284;10607;3323
20;5;1482;1482;1482;0
20;6;1889;1840;1889;49
20;7;1199;1199;1199;0
20;8;0;0;0;0
20;9;1658;1658;1658;0
20;10;0;0;0;0
21;1;630;514;630;116
21;2;2873;1139;2759;1734
21;3;8669;4955;9028;4426
21;4;9445;4918;9529;4684
21;5;1555;1247;1065;308
21;6;1112;971;1602;632
21;7;932;235;1007;771
21;8;0;0;0;0
21;9;560;501;485;59
21;10;0;0;0;0
22;1;274;274;274;0
22;2;1523;973;1523;550
22;3;10630;4982;10438;5800
22;4;6186;2032;6401;4319
22;5;486;486;486;0
22;6;1572;745;1494;827
22;7;503;281;685;222
22;8;0;0;0;0
22;9;507;419;440;88
22;10;0;0;137;137
23;1;126;126;126;0
23;2;1278;297;1278;981
23;3;13431;1654;13684;13099
23;4;15369;1056;15510;15008
23;5;121;121;121;0
23;6;8335;0;8335;8335
23;7;1607;108;1467;1359
23;8;0;0;0;0
23;9;1421;199;1357;1222
23;10;543;543;522;522
24;1;1859;348;1859;1511
24;2;4522;867;4357;4045
24;3;19342;3685;19348;16665
24;4;22853;3697;22953;19778
24;5;1193;0;1193;1193
24;6;4043;1577;4185;2608
24;7;848;470;378;378
24;8;0;0;186;186
24;9;1238;458;1437;975
24;10;1042;829;1556;1556
25;1;1328;445;1055;883
25;2;2110;1166;2506;1341
25;3;14095;8246;13916;6140
25;4;5592;3498;6002;2231
25;5;996;618;996;378
25;6;1544;883;1544;661
25;7;2266;1669;2266;597
25;8;0;0;0;0
25;9;910;424;704;704
25;10;461;461;14;14
26;1;756;338;756;418
26;2;900;256;912;657
26;3;14356;5037;13761;9676
26;4;8882;2806;9452;6646
26;5;1027;573;1105;454
26;6;3230;161;3267;3106
26;7;859;84;1056;972
26;8;0;0;0;0
26;9;1455;906;1471;548
26;10;0;0;0;0
27;1;1871;487;1537;1383
27;2;4620;800;6021;5132
27;3;41853;6689;43793;39212
27;4;13725;6163;11947;7876
27;5;8072;1053;8014;7019
27;6;10617;896;11248;10448
27;7;3947;1225;3919;2767
27;8;0;0;0;0
27;9;2867;1871;2278;996
27;10;1690;1387;1733;1695
28;1;1403;268;1377;1108
28;2;2540;414;2451;2105
28;3;19827;5206;19868;17081
28;4;10039;2388;9828;8425
28;5;1238;615;1101;619
28;6;3335;963;3614;2820
28;7;3110;1527;2978;1662
28;8;584;0;584;584
28;9;1842;442;1146;858
28;10;2157;597;2635;2569
29;1;2768;136;2768;2632
29;2;4360;633;4417;3784
29;3;56024;8432;58685;53634
29;4;8929;4406;6696;4523
29;5;2323;468;2323;1855
29;6;10244;871;10398;9935
29;7;7780;1713;7613;6602
29;8;0;0;0;0
29;9;3502;581;3225;3118
29;10;3503;3503;2822;2822
30;1;1069;430;791;640
30;2;1858;585;1831;1273
30;3;14733;6031;14522;9376
30;4;8503;4679;8142;4177
30;5;1816;666;2062;1280
30;6;3641;1261;3495;2438
30;7;2618;1776;2964;918
30;8;40;0;40;40
30;9;2706;1669;2726;1223
30;10;1033;843;969;932
31;1;2075;1912;2294;190
31;2;1835;767;1478;756
31;3;31036;8387;32134;26468
31;4;33544;5527;34079;29619
31;5;1869;1541;1894;328
31;6;12850;1532;12953;11820
31;7;9432;5649;8147;3880
31;8;0;0;0;0
31;9;3946;2273;3205;1673
31;10;2845;2755;2802;1580
32;1;2154;373;2463;2123
32;2;5608;433;6594;6120
32;3;43585;6979;44637;42260
32;4;10952;4103;9303;7942
32;5;1623;618;1253;1005
32;6;5956;764;6597;5715
32;7;3690;1885;2897;1863
32;8;154;0;163;163
32;9;2206;713;2197;1821
32;10;3519;3519;4372;4252
33;1;398;174;416;398
33;2;85;54;85;31
33;3;847;471;1025;493
33;4;2818;786;2688;2228
33;5;601;207;572;394
33;6;720;231;691;489
33;7;89;89;114;0
33;8;0;0;0;0
33;9;365;116;354;309
33;10;202;202;183;174
34;1;221;221;221;0
34;2;393;367;368;26
34;3;10585;3525;9796;7560
34;4;7835;1588;8519;7238
34;5;424;327;428;97
34;6;714;388;832;326
34;7;1090;708;1294;801
34;8;0;0;0;0
34;9;658;576;662;149
34;10;129;129;141;116
35;1;1237;636;1781;600
35;2;7453;2566;7479;4913
35;3;45489;16962;47488;34023
35;4;22456;12659;21517;10097
35;5;3292;2235;3305;1195
35;6;5427;805;5510;4705
35;7;5765;3519;3710;2376
35;8;0;0;0;0
35;9;3850;894;4388;3582
35;10;1738;1738;1738;1738
36;1;5193;301;5710;5409
36;2;7305;1432;7459;6182
36;3;41437;18591;40703;24541
36;4;20514;11425;20100;9223
36;5;3214;1808;2742;1437
36;6;3189;1230;3189;1959
36;7;5507;3129;5830;2538
36;8;163;163;154;0
36;9;1010;609;1820;1527
36;10;1120;1120;940;940
37;1;1452;272;1452;1263
37;2;962;393;917;569
37;3;11498;3923;11098;8450
37;4;4459;3455;4480;1003
37;5;503;215;503;336
37;6;105;105;105;0
37;7;920;920;1100;0
37;8;0;0;0;0
37;9;795;203;1521;1381
37;10;181;181;485;485
38;1;114;57;114;57
38;2;1898;1182;2136;716
38;3;3267;524;3236;2742
38;4;5464;3340;5391;2124
38;5;201;201;201;0
38;6;108;108;99;0
38;7;312;312;312;0
38;8;0;0;0;0
38;9;81;81;161;0
38;10;0;0;0;0
39;1;1757;468;1695;1289
39;2;2599;1863;2249;382
39;3;9467;2323;9018;6973
39;4;9381;6257;8247;3113
39;5;634;424;1099;210
39;6;5161;0;4930;4930
39;7;1118;701;1694;417
39;8;0;0;0;0
39;9;1068;530;1259;538
39;10;0;0;0;0
40;1;2006;258;1907;1715
40;2;3924;2140;3127;1878
40;3;11009;2965;10517;8090
40;4;10821;3528;11808;8550
40;5;777;304;807;473
40;6;1413;198;1379;1216
40;7;869;47;869;822
40;8;0;0;0;0
40;9;1551;978;1249;1071
40;10;178;160;787;768
41;1;4032;617;4032;3416
41;2;6491;1739;6437;4777
41;3;15605;6680;15037;9071
41;4;16178;6550;17794;11051
41;5;3019;1413;2491;1607
41;6;4669;785;4428;3638
41;7;3201;1577;2871;1630
41;8;126;126;126;0
41;9;1847;779;1811;1081
41;10;0;0;0;0
42;1;2091;269;2091;1822
42;2;3155;989;3155;2166
42;3;3802;1672;3654;2162
42;4;3034;2771;3159;388
42;5;1491;173;1491;1318
42;6;51;51;51;0
42;7;2508;218;2508;2291
42;8;0;0;0;0
42;9;1123;51;1123;1071
42;10;152;122;172;61
43;1;2775;899;2688;1876
43;2;8690;3845;8316;5039
43;3;25570;9170;26801;19917
43;4;25044;10664;25340;15506
43;5;2620;1074;2590;1546
43;6;3868;979;4004;3415
43;7;2015;1497;2293;796
43;8;0;0;0;0
43;9;4282;1510;4481;2769
43;10;1187;1187;804;804
44;1;1305;28;1753;1726
44;2;4139;1023;3961;3105
44;3;20615;5974;20940;16249
44;4;6319;2867;5361;4325
44;5;806;313;806;494
44;6;12384;1033;14387;13354
44;7;1830;33;2485;2025
44;8;0;0;0;0
44;9;4191;3800;3153;391
44;10;1165;1165;1148;1148
45;1;7327;1285;6983;6042
45;2;5452;1508;5680;4225
45;3;27959;10688;29060;19627
45;4;27840;12930;27919;16079
45;5;4790;2347;4603;2634
45;6;4886;3126;3852;1912
45;7;3944;1357;4155;2798
45;8;0;0;0;0
45;9;4864;1518;4808;3447
45;10;595;280;407;407
46;1;3283;1452;3283;1831
46;2;9557;4223;9542;5609
46;3;14191;9594;15180;6527
46;4;23620;12865;23427;11609
46;5;1822;947;1836;889
46;6;698;183;515;515
46;7;2389;1307;2208;1081
46;8;325;325;325;0
46;9;1641;423;2099;1401
46;10;0;0;25;25
47;1;2055;653;2055;1402
47;2;4625;3005;4970;1965
47;3;14808;9729;13617;5079
47;4;6674;2498;6703;4550
47;5;1171;1021;1157;149
47;6;1234;621;1234;613
47;7;1325;1325;1325;0
47;8;0;0;0;0
47;9;543;0;726;543
47;10;0;0;634;634
48;1;1004;0;1004;1004
48;2;3873;794;4264;3471
48;3;12382;6710;13008;6407
48;4;11211;7525;11239;3652
48;5;3333;2533;2758;800
48;6;605;255;605;350
48;7;4020;1021;4237;3450
48;8;0;0;0;0
48;9;1284;0;1979;1979
48;10;728;728;0;0
49;1;1759;290;2019;1733
49;2;1118;653;1118;465
49;3;18371;5111;18746;13952
49;4;8408;3383;8410;5025
49;5;748;632;646;178
49;6;4016;1483;4235;2752
49;7;1225;963;1184;262
49;8;64;0;64;64
49;9;1014;423;1005;591
49;10;747;747;42;42
50;1;1125;920;1125;206
50;2;2115;781;2115;1334
50;3;3719;2227;3551;1491
50;4;4444;1866;4515;2579
50;5;3595;1972;3595;1623
50;6;1829;770;1917;1058
50;7;457;190;476;286
50;8;0;0;0;0
50;9;188;70;188;118
50;10;0;0;0;0
51;1;743;743;749;0
51;2;2085;1260;2085;825
51;3;8770;4622;9711;5183
51;4;10540;5403;9990;5137
51;5;1983;1041;1983;942
51;6;1829;963;1829;865
51;7;754;678;754;76
51;8;0;0;0;0
51;9;1656;683;1259;972
51;10;0;0;0;0
52;1;1654;85;1715;1568
52;2;1521;979;1251;363
52;3;12152;4564;12233;8452
52;4;2807;1415;2453;1392
52;5;1409;1074;971;335
52;6;1638;1272;801;366
52;7;616;364;1057;598
52;8;0;0;0;0
52;9;2401;1100;3290;2355
52;10;151;151;333;182
53;1;690;114;690;576
53;2;3421;856;3461;2565
53;3;26379;7295;26790;22453
53;4;11896;3097;11675;9857
53;5;389;320;510;69
53;6;4485;816;4819;4002
53;7;3066;992;3713;2843
53;8;0;0;0;0
53;9;2924;747;2670;2257
53;10;2818;2818;1588;1588
54;1;1618;483;1510;1135
54;2;3361;363;3431;3104
54;3;25605;5486;26666;24315
54;4;5442;2048;6165;4253
54;5;3728;1597;3459;2131
54;6;10661;218;10878;10683
54;7;2366;2110;1516;366
54;8;0;0;0;0
54;9;1447;246;1874;1744
54;10;2236;1790;3678;3648
55;1;1894;941;1818;953
55;2;1555;445;1834;1404
55;3;17729;6624;18246;12647
55;4;19990;4087;20389;16746
55;5;1809;966;1624;1017
55;6;2452;260;2834;2175
55;7;2216;873;2354;1370
55;8;0;0;0;0
55;9;2432;1609;1829;823
55;10;642;642;332;119
56;1;3600;1020;1602;581
56;2;2533;583;4273;3948
56;3;16951;5150;16512;11708
56;4;18744;5141;18745;13833
56;5;3111;1387;3031;1724
56;6;1889;177;2029;1852
56;7;3678;2621;3465;1230
56;8;216;0;216;216
56;9;3418;1882;3285;1594
56;10;130;130;615;615
57;1;1381;419;1421;1002
57;2;1314;683;2732;2106
57;3;40430;5885;37685;32416
57;4;10708;5981;9964;4808
57;5;3156;1667;2993;1489
57;6;3905;1506;4348;3657
57;7;5391;2382;5446;3481
57;8;219;0;219;219
57;9;2114;1298;1405;918
57;10;981;941;817;642
58;1;1585;923;1585;662
58;2;2699;1538;2699;1161
58;3;25599;11761;25495;15561
58;4;15137;9467;15937;6525
58;5;4499;1859;4499;2639
58;6;2600;1845;2397;886
58;7;5662;4723;4817;1252
58;8;0;0;0;0
58;9;4031;1416;4018;2997
58;10;1606;1606;1516;1351
59;1;2478;1497;2478;981
59;2;6994;3090;7592;4503
59;3;31067;14272;29568;18336
59;4;18436;9408;17793;9052
59;5;9570;4908;10637;4765
59;6;2699;1922;2566;777
59;7;5303;2883;5560;3099
59;8;0;0;0;0
59;9;8245;3729;8231;4241
59;10;1134;1134;1216;1216
60;1;1486;1041;1486;446
60;2;4358;1151;4055;3154
60;3;17985;6363;19552;13223
60;4;7569;3855;7074;3714
60;5;4966;2985;4966;1981
60;6;3233;1591;3233;1642
60;7;280;39;280;240
60;8;0;0;0;0
60;9;1448;342;1165;1165
60;10;33;33;33;33
61;1;3339;1903;3339;1478
61;2;4332;557;4074;3775
61;3;19702;9172;18193;10839
61;4;9730;4081;11441;7360
61;5;5057;4481;4815;576
61;6;2347;926;2356;1430
61;7;3416;1523;2696;1952
61;8;219;219;219;0
61;9;4676;2652;5427;2879
61;10;395;395;358;358
62;1;964;84;948;864
62;2;1230;457;968;822
62;3;19902;2375;19027;17226
62;4;6198;1203;6957;6027
62;5;579;403;536;176
62;6;5476;345;5692;5404
62;7;4110;314;4434;4216
62;8;0;0;0;0
62;9;946;547;681;442
62;10;520;520;0;0
63;1;320;113;1388;1276
63;2;428;100;438;328
63;3;12554;1106;12339;11485
63;4;1057;354;1048;703
63;5;2791;2791;172;0
63;6;10345;339;13209;13082
63;7;535;116;535;419
63;8;0;0;0;0
63;9;1117;965;175;152
63;10;0;0;0;0
64;1;3521;1605;3946;3050
64;2;8215;2458;6719;4947
64;3;41137;10926;42237;33098
64;4;17614;11620;17923;8435
64;5;4459;2531;4194;2428
64;6;4895;1344;4887;3988
64;7;3808;2202;3614;1981
64;8;0;0;0;0
64;9;5045;3476;4521;1904
64;10;2550;1912;2348;2348
65;1;1164;736;1117;847
65;2;2780;826;2783;1979
65;3;23145;11559;23383;12606
65;4;19940;6181;20601;14943
65;5;1134;427;1134;806
65;6;930;867;930;63
65;7;2111;1608;2111;503
65;8;0;0;0;0
65;9;1568;1031;958;731
65;10;705;492;440;440
66;1;3135;516;3495;2978
66;2;5811;783;5905;5426
66;3;22812;5272;22563;18305
66;4;15178;2994;14755;12752
66;5;2417;655;2462;1763
66;6;1268;456;1169;812
66;7;5218;1082;5920;4500
66;8;0;0;0;0
66;9;3823;578;3892;3244
66;10;1207;1056;995;796
67;1;3725;479;3700;3317
67;2;1541;455;1541;1086
67;3;11583;3719;10576;7310
67;4;3007;2130;3101;1113
67;5;1021;781;1075;240
67;6;2127;244;2127;1965
67;7;1096;616;1023;521
67;8;0;0;0;0
67;9;1296;712;1161;584
67;10;94;19;563;488
68;1;3840;451;3773;3478
68;2;2717;1114;3675;2657
68;3;71899;13543;71113;63754
68;4;11430;7556;9662;4182
68;5;1059;533;1059;526
68;6;2369;1000;2369;1369
68;7;4568;2355;4329;2236
68;8;0;0;0;0
68;9;2646;910;2704;2361
68;10;3759;3390;5123;5123
69;1;6484;960;6665;6390
69;2;7193;1083;7504;6324
69;3;28710;4727;30415;27353
69;4;9804;5340;7177;4464
69;5;1751;478;1751;1273
69;6;1760;1162;2431;939
69;7;2415;1084;2493;1331
69;8;294;0;294;294
69;9;1691;874;2091;889
69;10;2430;2354;2372;2324
70;1;874;294;873;579
70;2;5113;1537;5779;4242
70;3;20863;4742;23167;19933
70;4;16848;5763;16772;12802
70;5;106;0;106;106
70;6;3863;934;3430;3099
70;7;1101;611;2621;2113
70;8;0;0;0;0
70;9;989;549;930;930
70;10;2874;2874;633;633
71;1;3822;2308;3803;1946
71;2;3802;1138;3787;3317
71;3;38933;13551;40654;28049
71;4;11667;7717;12134;5069
71;5;5925;3873;5925;2051
71;6;341;188;341;154
71;7;10400;9348;7468;1053
71;8;0;0;0;0
71;9;4835;1024;4682;4110
71;10;1804;1804;1696;1324
72;1;1339;240;1401;1172
72;2;2365;218;2491;2449
72;3;19246;4641;21194;17090
72;4;8973;4714;7423;4556
72;5;1504;1279;1504;225
72;6;889;789;889;100
72;7;2101;1000;2038;1101
72;8;246;130;246;116
72;9;1647;621;1658;1077
72;10;1318;1318;659;659
73;1;10635;487;11667;11325
73;2;9470;532;10159;9913
73;3;102665;16803;107413;102961
73;4;9226;8885;3377;521
73;5;927;196;886;731
73;6;2464;1424;2443;1040
73;7;5506;777;5073;4958
73;8;0;0;0;0
73;9;2839;1088;2551;2057
73;10;8400;8242;9730;9730
74;1;6132;126;6132;6006
74;2;9823;495;9858;9363
74;3;39401;6422;41706;38372
74;4;7538;4143;5954;3395
74;5;1008;635;913;278
74;6;3036;628;2585;1957
74;7;1905;790;1998;1210
74;8;0;0;0;0
74;9;2116;698;1996;1391
74;10;1817;1817;1658;1658
75;1;594;258;517;337
75;2;3076;837;2994;2239
75;3;12909;3949;12966;9496
75;4;4454;3007;4548;1447
75;5;1279;420;1279;909
75;6;1010;816;941;247
75;7;1904;1398;1813;594
75;8;0;0;0;0
75;9;1896;1564;1936;665
75;10;311;68;300;300
76;1;1370;130;1338;1240
76;2;1741;602;1486;1139
76;3;18682;4237;18432;14211
76;4;3213;2104;3020;1108
76;5;376;325;376;51
76;6;1968;384;1896;1624
76;7;2810;599;3025;2288
76;8;0;0;0;0
76;9;801;334;803;510
76;10;379;379;395;395
77;1;412;333;978;645
77;2;3469;324;3444;3120
77;3;42406;9954;43612;35639
77;4;10604;5051;10020;5762
77;5;3657;3025;1503;631
77;6;14242;1958;17765;16773
77;7;4355;2128;4486;2495
77;8;0;0;0;0
77;9;2908;1278;2611;1427
77;10;1553;1503;1410;1107
78;1;1249;516;1249;733
78;2;3733;623;3765;3164
78;3;25420;7203;25885;19627
78;4;5640;4362;5262;1278
78;5;2457;782;2552;1675
78;6;1545;1290;1545;254
78;7;2166;1221;2263;1138
78;8;0;0;0;0
78;9;1206;370;1358;988
78;10;1532;1302;1086;953
79;1;4205;288;4220;3932
79;2;2185;723;3965;3873
79;3;37847;5229;39253;36038
79;4;13134;5098;10818;8127
79;5;1058;528;1007;530
79;6;8439;447;9884;9435
79;7;4222;1594;3780;2688
79;8;158;0;158;158
79;9;4932;1460;4386;3722
79;10;2484;2193;3037;2612
80;1;464;414;462;50
80;2;7945;1321;7682;6694
80;3;25204;6419;26289;20876
80;4;9848;5065;9905;5084
80;5;2242;1231;2390;1156
80;6;3541;1377;3423;2182
80;7;5329;2378;5292;3444
80;8;40;0;40;40
80;9;1653;464;1646;1204
80;10;2213;1767;1788;1738
81;1;1836;306;1995;1883
81;2;7268;379;7150;6826
81;3;30320;5058;32245;27864
81;4;7120;4246;5526;2873
81;5;1481;479;1481;1002
81;6;1434;845;1340;641
81;7;5126;2053;5312;4704
81;8;0;0;0;0
81;9;1754;701;1490;1114
81;10;975;962;822;779
82;1;5752;945;5764;5440
82;2;10132;576;10301;9890
82;3;59350;8484;62171;57872
82;4;10155;4975;8610;5623
82;5;2374;676;2426;1651
82;6;4320;707;4311;3817
82;7;7726;2871;7615;6172
82;8;0;0;0;0
82;9;5731;1477;6506;5238
82;10;5398;5153;4955;4756
83;1;3880;610;4377;3733
83;2;4371;799;5204;4476
83;3;30514;11475;28478;21409
83;4;17508;7603;18385;11652
83;5;1617;1315;1390;302
83;6;1081;916;896;189
83;7;4371;2280;4332;2408
83;8;36;0;36;36
83;9;2610;1752;2815;1293
83;10;2427;2167;2644;2392
84;1;641;238;655;418
84;2;4012;425;3801;3351
84;3;17581;6706;17360;13913
84;4;18095;5366;19170;15797
84;5;1306;613;1552;940
84;6;568;368;688;140
84;7;1866;1796;734;157
84;8;0;0;0;0
84;9;2554;1740;2612;813
84;10;1732;1678;1724;1724
85;1;447;113;447;334
85;2;257;221;231;36
85;3;3859;1671;3755;2596
85;4;5313;1285;5746;4403
85;5;1132;1090;362;43
85;6;382;163;1046;879
85;7;652;439;556;214
85;8;0;0;0;0
85;9;635;599;532;145
85;10;340;340;340;340
86;1;395;87;395;308
86;2;1070;57;1070;1013
86;3;3173;953;3044;2271
86;4;1516;723;2288;1589
86;5;194;179;23;15
86;6;238;238;126;0
86;7;590;575;137;15
86;8;0;0;0;0
86;9;235;44;327;302
86;10;0;0;0;0
87;1;270;222;209;48
87;2;2031;578;2031;1453
87;3;15566;5694;15140;10120
87;4;8740;5425;9357;4106
87;5;1416;916;1379;500
87;6;2173;270;2232;1903
87;7;3163;1935;3216;1228
87;8;93;93;93;0
87;9;3233;1283;2846;1795
87;10;136;85;136;136
88;1;2122;942;1871;1181
88;2;8084;2234;8084;5924
88;3;34741;18476;35474;19105
88;4;20827;13063;20450;8471
88;5;3723;2600;3741;1578
88;6;3957;1401;4210;2975
88;7;5379;3778;5736;2071
88;8;0;0;0;0
88;9;4900;3163;4206;1905
88;10;1404;1404;857;807
89;1;891;226;1086;860
89;2;385;385;385;0
89;3;6087;4702;5859;1238
89;4;4098;3157;4069;997
89;5;965;965;1027;0
89;6;987;640;987;347
89;7;502;431;502;71
89;8;0;0;0;0
89;9;497;183;497;314
89;10;0;0;0;0
90;1;1482;546;1814;1336
90;2;1868;396;1868;1472
90;3;9311;4576;8631;5081
90;4;6454;2955;6684;3958
90;5;1263;1126;1301;275
90;6;2083;1473;1526;695
90;7;2195;980;3156;1721
90;8;0;0;0;0
90;9;1702;665;1878;1033
90;10;240;240;149;149
91;1;5210;778;5201;4551
91;2;5875;2059;5034;4487
91;3;18606;4067;18630;15898
91;4;13474;2499;14852;12500
91;5;974;54;1381;919
91;6;953;953;352;0
91;7;2617;2137;1024;785
91;8;600;0;600;600
91;9;4154;1722;4308;2432
91;10;976;976;1311;1311
92;1;2004;52;1979;1905
92;2;2587;555;2970;2812
92;3;20166;1322;22818;21982
92;4;4215;1633;4247;2656
92;5;36;36;120;85
92;6;58;0;58;58
92;7;2306;1973;569;502
92;8;353;36;353;317
92;9;7149;384;5773;5683
92;10;1624;1624;572;572
93;1;1003;165;1003;838
93;2;4760;263;4374;4105
93;3;29150;5588;29205;25238
93;4;19602;3698;19124;16109
93;5;2505;1670;1326;835
93;6;2684;1311;7221;6898
93;7;5993;3769;3096;1990
93;8;0;0;0;0
93;9;6636;724;6590;5866
93;10;1256;1256;1256;1256
94;1;2143;85;2191;2106
94;2;6520;726;6475;6162
94;3;16030;4874;16315;13804
94;4;3882;2271;3317;1610
94;5;1212;336;1082;876
94;6;1710;395;1787;1426
94;7;4772;888;4638;3959
94;8;326;0;326;326
94;9;1122;528;825;486
94;10;1777;1554;2931;2890
95;1;879;567;684;422
95;2;574;440;503;173
95;3;12225;4290;12689;8559
95;4;8665;5326;8922;3541
95;5;777;502;724;275
95;6;671;671;629;0
95;7;3171;2413;3087;1238
95;8;0;0;0;0
95;9;3581;2043;2755;1112
95;10;220;220;439;220
96;1;445;282;445;162
96;2;865;323;797;543
96;3;12950;2168;14083;12318
96;4;9067;3749;8241;6440
96;5;914;495;914;467
96;6;1614;418;1543;1196
96;7;1913;367;2215;1663
96;8;0;0;0;0
96;9;669;368;751;301
96;10;159;55;45;0
97;1;626;379;670;247
