id_zona;id_modo;quantidade_viagens_produzidas;quantidade_viagens_atraidas
31;6;17905;17678
31;7;7121;7243
31;8;1084;1135
31;9;5033;5031
31;10;7;7
31;11;0;0
31;12;2224;1203
31;13;17759;18030
31;14;0;0
32;1;30444;29918
32;2;863;863
32;3;10363;12388
32;4;106;106
32;5;36;36
32;6;11769;11733
32;7;1865;1855
32;8;626;445
32;9;8549;8577
32;10;355;355
32;11;51;15
32;12;340;340
32;13;14081;13846
32;14;0;0
33;1;292;311
33;2;48;48
33;3;505;556
33;4;0;0
33;5;787;102
33;6;2921;2921
33;7;280;1004
33;8;15;20
33;9;34;143
33;10;53;53
33;11;0;0
33;12;90;90
33;13;1100;881
33;14;0;0
34;1;2958;3042
34;2;478;478
34;3;2095;1820
34;4;0;0
34;5;840;711
34;6;6751;6810
34;7;2052;2185
34;8;288;302
34;9;1060;1300
34;10;108;108
34;11;108;108
34;12;0;0
34;13;5312;5397
34;14;0;0
35;1;19571;19798
35;2;2832;2832
35;3;12221;12622
35;4;423;691
35;5;938;670
35;6;11378;11075
35;7;3668;4058
35;8;553;553
35;9;3139;3146
35;10;5328;5048
35;11;0;0
35;12;1158;2179
35;13;35499;34245
35;14;0;0
36;1;24485;25107
36;2;361;361
36;3;8630;7993
36;4;143;240
36;5;1600;1600
36;6;18213;18213
36;7;3521;3403
36;8;211;24
36;9;5629;5301
36;10;163;163
36;11;0;0
36;12;137;157
36;13;25558;26084
36;14;0;0
37;1;2422;3217
37;2;1271;1271
37;3;5013;4962
37;4;0;0
37;5;582;554
37;6;5201;5201
37;7;1769;1971
37;8;59;59
37;9;1007;847
37;10;708;708
37;11;0;0
37;12;216;216
37;13;2625;2653
37;14;0;0
38;1;86;29
38;2;0;0
38;3;1603;1670
38;4;0;0
38;5;165;165
38;6;2013;2013
38;7;2069;2244
38;8;0;0
38;9;352;346
38;10;221;221
38;11;0;0
38;12;2312;2312
38;13;2623;2650
38;14;0;0
39;1;4984;4568
39;2;293;293
39;3;8521;8121
39;4;1029;1029
39;5;1322;1322
39;6;3492;3430
39;7;2586;2882
39;8;0;62
39;9;2434;2199
39;10;960;960
39;11;0;0
39;12;0;0
39;13;5564;5324
39;14;0;0
40;1;7489;8197
40;2;0;0
40;3;7326;6097
40;4;0;0
40;5;1209;1279
40;6;4224;4165
40;7;3017;3311
40;8;0;0
40;9;854;731
40;10;908;908
40;11;85;85
40;12;337;337
40;13;7099;7339
40;14;0;0
41;1;9836;7649
41;2;709;709
41;3;8876;11057
41;4;0;0
41;5;4635;4635
41;6;11593;10406
41;7;4547;5270
41;8;94;0
41;9;1269;1269
41;10;334;334
41;11;126;126
41;12;1081;1081
41;13;12070;12492
41;14;0;0
42;1;1549;1514
42;2;1558;1558
42;3;3995;3933
42;4;0;0
42;5;463;463
42;6;2793;2793
42;7;763;856
42;8;0;0
42;9;391;386
42;10;532;532
42;11;0;0
42;12;731;731
42;13;4633;4638
42;14;0;0
43;1;20561;19569
43;2;1516;929
43;3;11068;13902
43;4;0;401
43;5;2694;2293
43;6;18348;18059
43;7;5172;5514
43;8;0;0
43;9;2866;3173
43;10;1070;1070
43;11;0;0
43;12;248;248
43;13;12507;12158
43;14;0;0
44;1;3831;4703
44;2;3143;4017
44;3;9642;7214
44;4;155;0
44;5;774;774
44;6;16082;16564
44;7;4828;5500
44;8;0;0
44;9;3067;3724
44;10;449;449
44;11;0;0
44;12;0;852
44;13;10783;10197
44;14;0;0
45;1;14007;15497
45;2;6851;5856
45;3;9665;9790
45;4;0;0
45;5;3763;3763
45;6;25458;25458
45;7;10693;9809
45;8;104;198
45;9;3028;3317
45;10;2540;1789
45;11;700;700
45;12;0;0
45;13;10847;11289
45;14;0;0
46;1;1882;1963
46;2;2155;2155
46;3;8248;8831
46;4;209;209
46;5;3851;3851
46;6;14951;15834
46;7;1915;1887
46;8;0;0
46;9;1609;1085
46;10;500;500
46;11;0;0
46;12;0;0
46;13;22205;22124
46;14;0;0
47;1;2253;2253
47;2;0;0
47;3;3057;2794
47;4;609;609
47;5;673;673
47;6;10357;10357
47;7;2062;2062
47;8;0;0
47;9;1449;1698
47;10;1051;1051
47;11;329;329
47;12;397;397
47;13;10198;10198
47;14;0;0
48;1;1557;2293
48;2;1494;1494
48;3;6019;5247
48;4;0;155
48;5;2355;2285
48;6;11407;11407
48;7;6231;6890
48;8;0;0
48;9;346;621
48;10;943;943
48;11;346;346
48;12;328;328
48;13;7415;7085
48;14;0;0
49;1;15736;15740
49;2;0;0
49;3;2236;2189
49;4;0;0
49;5;1098;1098
49;6;8196;7850
49;7;1575;1962
49;8;91;58
49;9;2705;2747
49;10;244;244
49;11;0;0
49;12;698;698
49;13;4845;4836
49;14;47;47
50;1;1800;1959
50;2;66;66
50;3;2608;2441
50;4;0;0
50;5;1176;1176
50;6;4217;4236
50;7;407;1100
50;8;253;253
50;9;253;253
50;10;1096;1096
50;11;0;0
50;12;357;357
50;13;5237;4544
50;14;0;0
51;1;8221;8313
51;2;0;0
51;3;2065;2065
51;4;0;0
51;5;1281;1281
51;6;10293;10293
51;7;2008;1892
51;8;164;164
51;9;709;617
51;10;435;435
51;11;0;0
51;12;170;170
51;13;2867;2983
51;14;146;146
52;1;8402;7518
52;2;0;876
52;3;2223;2047
52;4;0;0
52;5;85;85
52;6;8316;8270
52;7;1527;1619
52;8;61;61
52;9;130;229
52;10;179;0
52;11;0;0
52;12;96;96
52;13;3332;3304
52;14;0;0
53;1;15580;14989
53;2;355;355
53;3;9634;10066
53;4;0;0
53;5;739;758
53;6;13554;13634
53;7;3310;3462
53;8;598;598
53;9;1258;1508
53;10;435;354
53;11;188;188
53;12;291;291
53;13;10127;9713
53;14;0;0
54;1;17852;19488
54;2;550;550
54;3;7140;6613
54;4;24;24
54;5;753;753
54;6;12342;12109
54;7;4012;3920
54;8;476;507
54;9;2932;3914
54;10;554;1305
54;11;0;74
54;12;261;261
54;13;9568;9660
54;14;0;0
55;1;15933;16519
55;2;0;652
55;3;2863;2398
55;4;343;343
55;5;1493;1473
55;6;9587;10096
55;7;2515;2188
55;8;15;15
55;9;3295;2783
55;10;3301;3301
55;11;0;0
55;12;864;864
55;13;10511;10628
55;14;0;0
56;1;12063;12133
56;2;0;0
56;3;6774;7142
56;4;0;0
56;5;6587;6587
56;6;7211;7211
56;7;2358;3018
56;8;177;271
56;9;3166;2395
56;10;2045;1314
56;11;0;0
56;12;333;333
56;13;13554;13369
56;14;0;0
57;1;23915;22957
57;2;721;1121
57;3;6480;5577
57;4;0;0
57;5;1798;1798
57;6;14866;13400
57;7;1771;1911
57;8;241;549
57;9;3774;5082
57;10;272;272
57;11;0;0
57;12;803;803
57;13;14911;13512
57;14;47;47
58;1;13689;13939
58;2;181;181
58;3;8676;7200
58;4;267;267
58;5;1991;1991
58;6;17371;17776
58;7;5414;6105
58;8;98;98
58;9;2987;2394
58;10;99;99
58;11;0;0
58;12;427;427
58;13;12218;12487
58;14;0;0
59;1;25093;25372
59;2;0;0
59;3;12722;13100
59;4;0;0
59;5;452;452
59;6;21229;21268
59;7;5645;4336
59;8;1008;1008
59;9;4892;5261
59;10;1270;1270
59;11;39;0
59;12;206;206
59;13;13371;13371
59;14;0;0
60;1;4060;4398
60;2;471;471
60;3;7134;6777
60;4;401;0
60;5;266;667
60;6;13955;14030
60;7;774;1204
60;8;288;288
60;9;3330;3330
60;10;3165;3165
60;11;0;0
60;12;638;638
60;13;6877;6877
60;14;0;0
61;1;13825;14403
61;2;0;0
61;3;6650;6297
61;4;0;0
61;5;3279;3279
61;6;13875;13232
61;7;2243;2497
61;8;0;258
61;9;5497;5163
61;10;2464;2464
61;11;0;0
61;12;0;0
61;13;5379;5323
61;14;0;0
62;1;3611;5017
62;2;609;609
62;3;7497;6429
62;4;0;0
62;5;590;590
62;6;14039;13954
62;7;3826;4984
62;8;1589;384
62;9;1929;1836
62;10;1737;695
62;11;0;0
62;12;2222;2428
62;13;2275;2316
62;14;0;0
63;1;11726;11391
63;2;201;84
63;3;4005;4136
63;4;0;0
63;5;152;152
63;6;8469;8698
63;7;1908;2482
63;8;0;0
63;9;1342;1244
63;10;700;700
63;11;0;0
63;12;151;151
63;13;493;264
63;14;0;0
64;1;17053;15422
64;2;634;507
64;3;11470;11758
64;4;570;570
64;5;1663;1563
64;6;25680;26072
64;7;9487;8810
64;8;501;367
64;9;3158;3182
64;10;5025;5025
64;11;0;142
64;12;2187;2334
64;13;13818;14635
64;14;0;0
65;1;5203;4786
65;2;0;0
65;3;9757;9277
65;4;91;0
65;5;1806;1806
65;6;14454;14601
65;7;6732;6915
65;8;320;436
65;9;2361;2659
65;10;736;736
65;11;0;0
65;12;2378;2378
65;13;9637;9863
65;14;0;0
66;1;12204;12111
66;2;0;0
66;3;9107;9264
66;4;0;0
66;5;359;359
66;6;16253;16169
66;7;11565;11677
66;8;133;133
66;9;1871;1970
66;10;1502;1502
66;11;206;0
66;12;203;203
66;13;7464;7767
66;14;0;0
67;1;2693;1654
67;2;0;1076
67;3;6501;5560
67;4;54;54
67;5;611;611
67;6;8345;8327
67;7;1841;1758
67;8;418;197
67;9;1052;1558
67;10;720;720
67;11;0;0
67;12;929;929
67;13;2324;2422
67;14;0;0
68;1;14800;16455
68;2;2334;1624
68;3;22847;21938
68;4;0;0
68;5;2044;2044
68;6;27702;28404
68;7;4999;5212
68;8;681;561
68;9;5695;4821
68;10;2943;2943
68;11;0;0
68;12;3120;3120
68;13;16755;16686
68;14;369;0
69;1;8365;6391
69;2;608;1051
69;3;15874;18133
69;4;286;286
69;5;2222;2222
69;6;12137;12059
69;7;2025;2350
69;8;241;241
69;9;3420;3192
69;10;1608;1747
69;11;0;0
69;12;4240;4240
69;13;11477;11251
69;14;31;31
70;1;1332;1876
70;2;2878;3046
70;3;12099;13882
70;4;0;0
70;5;894;680
70;6;11466;12098
70;7;3635;4326
70;8;40;40
70;9;2460;1724
70;10;2262;2262
70;11;120;469
70;12;1133;1133
70;13;14313;12775
70;14;0;0
71;1;10713;12560
71;2;692;1063
71;3;8363;7751
71;4;0;0
71;5;1978;1978
71;6;25051;24800
71;7;5638;3714
71;8;192;192
71;9;3479;4691
71;10;1227;1227
71;11;0;0
71;12;8996;8996
71;13;15199;13518
71;14;0;0
72;1;4793;5199
72;2;1570;1570
72;3;5089;5148
72;4;266;266
72;5;2164;2341
72;6;13791;13791
72;7;3356;2666
72;8;424;424
72;9;2330;2288
72;10;1638;1562
72;11;76;40
72;12;557;557
72;13;3573;3649
72;14;0;0
73;1;18320;17428
73;2;20434;23870
73;3;20377;19386
73;4;1908;1908
73;5;385;385
73;6;49602;50206
73;7;5333;5419
73;8;2185;830
73;9;5265;4832
73;10;3777;3777
73;11;512;188
73;12;2667;2461
73;13;21031;22273
73;14;335;335
74;1;31573;31308
74;2;318;0
74;3;8559;8683
74;4;215;215
74;5;540;540
74;6;14604;14604
74;7;1144;1144
74;8;1021;1147
74;9;2920;2528
74;10;2592;2462
74;11;0;0
74;12;531;531
74;13;8759;9638
74;14;0;0
75;1;3654;4456
75;2;1293;612
75;3;3312;3294
75;4;0;0
75;5;1091;1091
75;6;7385;7347
75;7;1520;1661
75;8;1066;754
75;9;990;1002
75;10;1558;1558
75;11;0;0
75;12;818;818
75;13;4746;4702
75;14;0;0
76;1;4578;5158
76;2;536;516
76;3;8207;6539
76;4;21;21
76;5;384;384
76;6;8991;9049
76;7;1807;1666
76;8;572;560
76;9;1475;1637
76;10;797;853
76;11;0;0
76;12;908;908
76;13;3062;3479
76;14;0;0
77;1;19106;21464
77;2;301;935
77;3;16838;16597
77;4;1606;1606
77;5;1117;1584
77;6;16096;16232
77;7;4683;4245
77;8;1190;1231
77;9;8222;7459
77;10;1930;1930
77;11;0;0
77;12;718;718
77;13;11800;11830
77;14;0;0
78;1;12613;12705
78;2;0;0
78;3;4730;4804
78;4;0;0
78;5;1015;853
78;6;8871;8575
78;7;2360;2407
78;8;1304;1203
78;9;2872;2960
78;10;1085;1384
78;11;0;0
78;12;283;475
78;13;9815;9598
78;14;0;0
79;1;27156;27192
79;2;0;0
79;3;11414;13365
79;4;0;204
79;5;1220;1220
79;6;15826;17011
79;7;6374;6578
79;8;623;345
79;9;2629;1705
79;10;792;792
79;11;158;0
79;12;239;220
79;13;12153;11797
79;14;79;79
80;1;10025;10241
80;2;341;452
80;3;10316;10241
80;4;32;32
80;5;2525;2525
80;6;13399;13698
80;7;3210;2751
80;8;400;575
80;9;4058;3832
80;10;1463;1499
80;11;0;0
80;12;1584;1392
80;13;11125;11679
80;14;0;0
81;1;8136;8451
81;2;1664;1327
81;3;11027;10959
81;4;389;517
81;5;841;841
81;6;17453;17533
81;7;5091;5418
81;8;531;531
81;9;3944;3546
81;10;2872;2872
81;11;15;15
81;12;1470;1470
81;13;3881;3881
81;14;0;0
82;1;26220;27091
82;2;6068;8010
82;3;14295;14557
82;4;0;0
82;5;139;71
82;6;31023;30301
82;7;6386;6058
82;8;70;176
82;9;6019;5774
82;10;3979;3979
82;11;302;64
82;12;2304;2304
82;13;13987;14274
82;14;146;0
83;1;11146;13034
83;2;419;0
83;3;9639;8772
83;4;0;0
83;5;2070;2070
83;6;17665;17665
83;7;7054;7388
83;8;563;609
83;9;3435;3426
83;10;1088;974
83;11;0;0
83;12;837;690
83;13;14499;13929
83;14;0;0
84;1;3689;3889
84;2;1994;2176
84;3;7580;7022
84;4;0;0
84;5;827;827
84;6;17582;17582
84;7;3315;3719
84;8;556;549
84;9;2683;2293
84;10;856;856
84;11;0;0
84;12;274;274
84;13;8999;9107
84;14;0;0
85;1;857;1260
85;2;340;340
85;3;716;541
85;4;0;0
85;5;138;138
85;6;4494;4494
85;7;2655;2991
85;8;0;0
85;9;1489;900
85;10;56;56
85;11;0;0
85;12;73;73
85;13;2201;2223
85;14;0;0
86;1;1846;1846
86;2;18;18
86;3;1560;1541
86;4;0;0
86;5;149;149
86;6;1978;1978
86;7;596;596
86;8;0;0
86;9;887;905
86;10;30;30
86;11;0;0
86;12;35;35
86;13;311;311
86;14;0;0
87;1;6077;6018
87;2;43;43
87;3;2983;3232
87;4;380;380
87;5;1378;911
87;6;12219;11917
87;7;4997;4971
87;8;558;558
87;9;2126;2444
87;10;1926;1926
87;11;138;0
87;12;267;267
87;13;3612;3856
87;14;117;117
88;1;7135;7073
88;2;2440;3104
88;3;10687;9813
88;4;0;0
88;5;2645;2645
88;6;27662;27662
88;7;5261;5822
88;8;293;171
88;9;8554;8712
88;10;1058;1058
88;11;0;0
88;12;550;550
88;13;18855;18019
88;14;0;0
89;1;1826;1985
89;2;0;0
89;3;1891;1891
89;4;0;0
89;5;453;453
89;6;5503;5503
89;7;2495;2291
89;8;0;0
89;9;689;734
89;10;0;0
89;11;0;0
89;12;143;143
89;13;1413;1413
89;14;0;0
90;1;1791;2032
90;2;77;0
90;3;5828;6008
90;4;0;0
90;5;1029;1212
90;6;7406;7669
90;7;2184;1882
90;8;139;24
90;9;1713;1349
90;10;411;411
90;11;73;73
90;12;93;93
90;13;5854;6252
90;14;0;0
91;1;6427;6338
91;2;12203;12107
91;3;14299;13494
91;4;0;0
91;5;374;201
91;6;10087;10215
91;7;4449;4319
91;8;0;115
91;9;231;218
91;10;428;428
91;11;0;0
91;12;869;869
91;13;4070;4388
91;14;0;0
92;1;6844;7369
92;2;6640;4583
92;3;7436;7816
92;4;23;23
92;5;59;59
92;6;14940;14940
92;7;1257;1502
92;8;38;0
92;9;810;643
92;10;145;145
92;11;0;0
92;12;55;55
92;13;2252;2325
92;14;0;0
93;1;13409;15456
93;2;14819;14106
93;3;15282;13124
93;4;0;0
93;5;1308;1308
93;6;13296;13475
93;7;4697;5053
93;8;323;180
93;9;2322;2275
93;10;480;480
93;11;0;0
93;12;1462;1462
93;13;6191;6277
93;14;0;0
94;1;6594;6998
94;2;4254;3721
94;3;6652;7348
94;4;0;0
94;5;343;343
94;6;8915;9085
94;7;3519;3682
94;8;20;0
94;9;2097;1558
94;10;135;135
94;11;126;126
94;12;338;338
94;13;6501;6552
94;14;0;0
95;1;2785;2709
95;2;616;238
95;3;2026;1952
95;4;0;0
95;5;1597;1617
95;6;11907;11832
95;7;4114;4742
95;8;135;110
95;9;2522;2049
95;10;580;580
95;11;0;0
95;12;175;175
95;13;4190;4312
95;14;117;117
96;1;3646;3898
96;2;2125;2125
96;3;4112;4002
96;4;0;0
96;5;945;945
96;6;11405;11947
96;7;2957;2833
96;8;48;48
96;9;913;891
96;10;301;301
96;11;0;73
96;12;986;986
96;13;1003;829
96;14;154;154
97;1;1157;1352
97;2;357;357
97;3;3630;3434
97;4;0;0
97;5;1339;1364
97;6;9334;9302
97;7;2309;2538
97;8;81;81
97;9;3027;2613
97;10;578;578
97;11;0;0
97;12;771;1089
97;13;2934;2934
97;14;75;75
98;1;1340;1521
98;2;448;527
98;3;2865;2559
98;4;0;0
98;5;218;218
98;6;6117;6283
98;7;1543;1629
98;8;0;0
98;9;545;568
98;10;793;793
98;11;0;0
98;12;1112;960
98;13;5316;5350
98;14;0;0
99;1;4937;4576
99;2;5657;6061
99;3;3204;3411
99;4;24;24
99;5;99;99
99;6;8056;7975
99;7;2082;2082
99;8;0;0
99;9;918;829
99;10;523;604
99;11;0;0
99;12;0;0
99;13;4332;4504
99;14;0;0
100;1;6294;6725
100;2;14273;14692
100;3;39667;38991
100;4;0;0
100;5;2404;3317
100;6;30066;30089
100;7;9193;8500
100;8;7;7
100;9;2808;2816
100;10;5297;5297
100;11;330;367
100;12;610;610
100;13;18860;18437
100;14;482;259
101;1;3391;3391
101;2;2131;2114
101;3;6063;6215
101;4;0;0
101;5;1888;1888
101;6;8034;8034
101;7;3138;2286
101;8;110;1007
101;9;303;303
101;10;78;78
101;11;0;0
101;12;0;0
101;13;1249;1076
101;14;0;0
102;1;1599;1591
102;2;3147;3147
102;3;3448;3118
102;4;0;0
102;5;2802;2728
102;6;7097;7636
102;7;2276;2360
102;8;160;160
102;9;3355;3399
102;10;964;964
102;11;0;0
102;12;194;194
102;13;2135;2090
102;14;0;0
103;1;38;934
103;2;828;424
103;3;1648;2055
103;4;14;14
103;5;278;278
103;6;2652;4119
103;7;204;187
103;8;7;7
103;9;566;556
103;10;9;9
103;11;0;0
103;12;94;94
103;13;281;281
103;14;259;259
104;1;185;207
104;2;234;681
104;3;1235;983
104;4;14;14
104;5;876;1081
104;6;3510;3479
104;7;1002;1016
104;8;23;23
104;9;642;642
104;10;69;69
104;11;0;0
104;12;94;94
104;13;2116;2097
104;14;0;0
105;1;2145;782
105;2;1724;1724
105;3;3110;4247
105;4;0;0
105;5;1400;1636
105;6;11406;11406
105;7;2265;2156
105;8;0;0
105;9;1407;1686
105;10;718;718
105;11;0;0
105;12;697;697
105;13;4004;4002
105;14;0;0
106;1;3136;3809
106;2;3116;2894
106;3;6403;7460
106;4;0;0
106;5;727;686
106;6;6019;5971
106;7;933;1098
106;8;0;128
106;9;1661;1456
106;10;1896;1896
106;11;0;0
106;12;1102;1102
106;13;4057;3943
106;14;0;0
107;1;3352;3289
107;2;5512;5423
107;3;4612;4631
107;4;0;0
107;5;1199;1611
107;6;12388;12257
107;7;4752;3708
107;8;0;0
107;9;735;779
107;10;1129;1371
107;11;0;0
107;12;0;0
107;13;8984;9218
107;14;0;0
108;1;1197;1124
108;2;4292;6536
108;3;2465;2467
108;4;153;153
108;5;245;278
108;6;7109;7384
108;7;1997;1928
108;8;0;0
108;9;444;116
108;10;1187;1187
108;11;31;31
108;12;497;497
108;13;2595;2595
108;14;0;0
109;1;11954;13152
109;2;4885;4885
109;3;26810;25188
109;4;0;0
109;5;17261;17009
109;6;47018;46476
109;7;17772;18790
109;8;0;0
109;9;1532;2251
109;10;4475;4475
109;11;1419;1419
109;12;881;881
109;13;27007;27007
109;14;0;0
110;1;6154;5996
110;2;9520;8865
110;3;27664;27074
110;4;0;0
110;5;4766;4766
110;6;16160;16160
110;7;3374;3413
110;8;0;0
110;9;1313;2905
110;10;3109;3109
110;11;0;0
110;12;0;0
110;13;25432;25116
110;14;0;0
111;1;534;534
111;2;2004;2004
111;3;11408;11797
111;4;513;513
