id_zona;ano;renda_per_capita;renda_mediana_familia;renda_media_familiar
79;2023;11603;13000;23333
80;2023;7014;10851;13888
81;2023;15522;26957;38762
82;2023;6285;10309;12397
83;2023;5871;10117;12207
84;2023;5454;9433;12241
85;2023;7665;15000;19005
86;2023;5140;8796;11921
87;2023;6786;10851;14837
88;2023;6565;11700;14400
89;2023;3952;6648;8755
90;2023;5985;9433;13039
91;2023;1815;3799;4176
92;2023;5097;8150;12645
93;2023;6953;9217;15226
94;2023;5604;10000;13227
95;2023;8580;15398;19464
96;2023;7760;14357;20821
97;2023;10746;21851;25379
98;2023;2506;5012;6220
99;2023;2917;6198;6882
100;2023;4313;6648;9776
101;2023;3982;6550;9094
102;2023;12583;25000;30222
103;2023;10934;26000;33012
104;2023;6609;12481;15730
105;2023;6299;14357;14831
106;2023;991;2585;2701
107;2023;6240;14357;15458
108;2023;2831;4842;7731
109;2023;2666;5000;7170
110;2023;2630;6365;6512
111;2023;3651;6000;9546
112;2023;1336;3200;3726
113;2023;1825;4136;4898
114;2023;;;
115;2023;1823;3900;5135
116;2023;1583;3797;4475
117;2023;1386;3520;3961
118;2023;1301;3100;3659
119;2023;1365;3400;3860
120;2023;;;
121;2023;1215;3000;3413
122;2023;1265;3199;3649
123;2023;1571;3540;4306
124;2023;2064;3899;5659
125;2023;2426;5024;6341
126;2023;2207;5130;6138
127;2023;2937;6249;7562
128;2023;3447;6648;7722
129;2023;3088;6000;6778
130;2023;1202;3540;5734
131;2023;1879;4384;4552
132;2023;;;
133;2023;3990;7065;9219
134;2023;4424;8201;11182
135;2023;4239;7646;10098
136;2023;3547;4684;8964
137;2023;2813;4684;7801
138;2023;1835;4684;4992
139;2023;3543;4584;9150
140;2023;2034;4800;5376
141;2023;2248;4500;5936
142;2023;1326;3421;3805
143;2023;;;
144;2023;2671;5779;6838
145;2023;3020;6965;8646
146;2023;;;
147;2023;2266;4475;6248
148;2023;4069;7646;11185
149;2023;;;
150;2023;1521;4910;4544
151;2023;1612;4220;4583
152;2023;3129;7500;7842
153;2023;4435;7646;11357
154;2023;2726;6099;6980
155;2023;1616;4000;4898
156;2023;1818;5024;5024
157;2023;1840;4234;5270
158;2023;1821;3910;4950
159;2023;2051;4742;5670
160;2023;2305;4050;5721
161;2023;1584;3669;4294
162;2023;1937;4000;4994
163;2023;2724;6150;7082
164;2023;1661;3540;4098
165;2023;1946;4526;5162
166;2023;4367;8796;10463
167;2023;4601;8450;11362
168;2023;3525;7646;8395
169;2023;3013;5908;7475
170;2023;2544;5100;6958
171;2023;2560;5890;6694
172;2023;2104;4368;5494
173;2023;2320;5779;6165
174;2023;1559;3797;4291
175;2023;1842;4368;5035
176;2023;1518;3600;4059
177;2023;1358;3540;3753
178;2023;;;
179;2023;;;
180;2023;1374;3301;3793
181;2023;2142;5140;5877
182;2023;1983;4875;5448
183;2023;1915;5000;5417
184;2023;2315;5550;6655
185;2023;1445;3341;4070
186;2023;1988;5012;5487
187;2023;1146;2820;3291
188;2023;1828;4000;5186
189;2023;1581;3669;4358
190;2023;2417;6000;6342
191;2023;;;
192;2023;2171;3700;5885
193;2023;1492;3797;4299
194;2023;1416;3189;4188
195;2023;1979;5024;5509
196;2023;1516;3410;4211
197;2023;1800;4234;5092
198;2023;1797;4500;4940
199;2023;1401;3540;4116
200;2023;1141;3078;3297
201;2023;1763;4378;5010
202;2023;1671;4072;4686
203;2023;1557;3799;4557
204;2023;1187;2700;3459
205;2023;1239;3301;3600
206;2023;1478;4000;4105
207;2023;1221;3250;3564
208;2023;2776;5779;7310
209;2023;3216;6648;8511
210;2023;3396;6000;8806
211;2023;2440;5334;6416
212;2023;1787;4072;5013
213;2023;2373;6400;6520
214;2023;2057;4184;5503
215;2023;2186;4842;5806
216;2023;2625;4410;7110
217;2023;1866;4684;5073
218;2023;1496;3078;3951
219;2023;2487;6090;7069
220;2023;2170;4309;6145
221;2023;1554;3797;4336
222;2023;2494;4200;6935
223;2023;1627;3540;4470
224;2023;;;
225;2023;1572;4368;4554
226;2023;1597;3799;4406
227;2023;1449;3000;4096
228;2023;1108;2630;3178
229;2023;1299;3271;3630
230;2023;1101;3301;3137
231;2023;1201;3089;3462
232;2023;1168;2900;3386
233;2023;1526;3540;4325
234;2023;1067;2760;3137
235;2023;1214;3000;3428
236;2023;3523;7130;8527
237;2023;3502;7746;8025
238;2023;3147;6090;7556
239;2023;2832;6000;7116
240;2023;3919;7130;9819
241;2023;2356;5012;5986
242;2023;1527;3797;4056
243;2023;2853;5700;7079
244;2023;1502;4368;4160
245;2023;1747;4742;4621
246;2023;2392;5388;6357
247;2023;1759;3950;4694
248;2023;;;
249;2023;1843;4050;4965
250;2023;4808;9433;12636
251;2023;2425;4500;5968
252;2023;2552;5779;6854
253;2023;1546;3700;4214
254;2023;3455;6648;8557
255;2023;2491;4930;6235
256;2023;2579;4854;6275
257;2023;2553;5388;6404
258;2023;1547;4200;4160
259;2023;1488;4072;4176
260;2023;1731;4220;4882
261;2023;1403;3301;3907
262;2023;1437;3659;3991
263;2023;1252;2870;3590
264;2023;1987;5024;5382
265;2023;1472;3824;4098
266;2023;2117;5388;5801
267;2023;1512;3100;4179
268;2023;5774;10000;14585
269;2023;8785;16515;19723
270;2023;5156;8201;11030
271;2023;;;
272;2023;3779;8000;8901
273;2023;3613;7215;9286
274;2023;2353;5012;5862
275;2023;3309;7000;8088
276;2023;1974;4434;5378
277;2023;2444;5000;6363
278;2023;1456;3400;4018
279;2023;1591;3820;4251
280;2023;5524;7130;14303
281;2023;4434;8796;11367
282;2023;2578;6648;6870
283;2023;4330;10800;11288
284;2023;1416;3500;3885
285;2023;1457;4000;4148
286;2023;2411;5388;5984
287;2023;2836;7130;7579
288;2023;2847;4684;7828
289;2023;2020;4684;5629
290;2023;1926;5175;5501
291;2023;1795;4368;4890
292;2023;1715;3570;4801
293;2023;1466;3540;4096
294;2023;1382;3540;3900
295;2023;1382;3540;3982
296;2023;1106;2600;3166
297;2023;2077;5000;6186
298;2023;1503;4006;4485
299;2023;1776;3720;4019
300;2023;;;
301;2023;4400;8796;10344
302;2023;6709;14357;17975
303;2023;4860;9433;11861
304;2023;4617;9150;11297
305;2023;2431;3550;6173
306;2023;1641;3950;4477
307;2023;1274;3078;3524
308;2023;1259;3301;3503
309;2023;1254;2676;3227
310;2023;1508;3540;4255
311;2023;1135;2710;3179
312;2023;1341;3300;3637
313;2023;1746;3935;4651
314;2023;1563;3899;4124
315;2023;1389;3301;3793
316;2023;1370;3520;3807
317;2023;6135;10851;13091
318;2023;23265;31008;54783
319;2023;4606;7388;11436
320;2023;11265;21925;26607
321;2023;2449;3255;6651
322;2023;6289;10925;15076
323;2023;7350;15398;18006
324;2023;2723;5000;7162
325;2023;1585;4036;4285
326;2023;1861;4072;5139
327;2023;1909;3797;5107
328;2023;8436;15000;22154
329;2023;3947;6750;9870
330;2023;4711;10851;12103
331;2023;5889;4792;15775
332;2023;2265;4368;6236
333;2023;1740;3899;4915
334;2023;2063;4400;5475
335;2023;2682;5890;7083
336;2023;3052;7000;8429
337;2023;4517;8398;12266
338;2023;3286;5000;8110
339;2023;2252;4684;6175
340;2023;;;
341;2023;6931;8796;15986
342;2023;4394;7130;10543
343;2023;4323;8350;9831
