nome_zona;domicilios_total;familias_total;populacao_total;empregos_fora_da_residencia;empregos_na_residencia;empregos_sem_endereco_fixo;tempo_medio_coletivo;tempo_medio_individual
Perdizes;17841;17841;39132;17547;3313;2506;48;32
Vila Anglo Brasileira;5564;5564;12325;2565;1514;602;38;23
Pompéia;5834;5834;12709;5954;1247;350;46;26
Santa Marina;6232;6232;14340;25653;1041;501;51;36
Barra Funda;1405;1405;3486;19542;211;71;45;28
Francisco Matarazzo;4727;4727;10352;28738;1642;491;30;22
Água Branca;2580;2580;6089;18004;523;87;38;27
Vila Beatriz;7217;7217;16371;6345;1791;868;43;21
Alto de Pinheiros;2395;2395;6426;10978;646;207;52;25
Boaçava;6559;6559;15490;7402;2977;589;34;22
Vila Anastácio;3558;3558;8832;6117;33;514;43;23
Lapa de Baixo;3708;3708;8747;24433;551;740;55;20
Lapa;10263;10460;23708;51932;1355;1938;55;39
Vila Ipojuca;9273;9442;21565;9778;1854;431;51;32
Alto da Lapa;5019;5019;12055;8791;1556;268;37;29
Gavião Peixoto;829;829;2503;4834;330;101;37;24
Bela Aliança;2662;2684;6389;3099;822;150;38;21
Vila Hamburguesa;5461;5522;13001;9568;895;1376;48;34
CEASA;2571;2571;7004;26460;309;165;45;16
Vila Leopoldina;6604;6604;16361;10914;3004;1887;40;24
Emissário;1861;1935;5285;14496;636;805;49;20
Vila Zatt;43935;44491;119648;24367;16340;3661;57;25
Pirituba;26070;26070;64542;20082;3392;1551;46;33
São Domingos;19596;19596;51231;12085;4354;982;58;29
Jardim Mutinga;14011;14291;39861;15559;3041;1904;56;24
Vila Jaguara;9443;9443;25344;21781;2628;720;53;29
Parque do Jaraguá;0;0;0;0;0;0;;
Nova Jaraguá;18444;18444;51960;11238;4345;2617;47;30
Parada de Taipas;57957;58343;164908;23482;8041;3645;64;39
Parque Morro Doce;21697;21697;61982;12946;5784;3398;84;37
Anhanguera;5328;5420;15250;3293;1609;438;71;34
Perus;31265;31786;89903;13337;7390;5079;62;27
Vista Alegre;0;0;0;0;0;0;;
Jardim Damasceno;28824;29304;82349;5671;4555;3869;77;41
Vila Souza;16571;16571;47809;1760;5580;2234;62;49
Vila Terezinha;22853;22853;62629;2942;3006;1000;56;19
Brasilândia;20619;20619;56530;6794;3555;2496;60;18
Vila Morro Grande;19166;19876;51953;8677;1779;2655;67;32
Itaberaba;12330;12330;34294;10688;1129;186;60;32
Freguesia do Ó;21127;21127;54403;22593;4030;2512;46;27
Carandiru;958;958;2146;9412;241;129;41;23
Santana;1742;1742;3824;14482;436;66;47;22
Zaki Narchi;1185;1185;5655;5132;273;215;43;25
Tietê;590;590;1429;10060;32;1404;45;20
Parque Anhembi;0;0;0;3183;0;236;;
Alfredo Pujol;16784;16784;38784;18348;3808;1440;48;41
Santa Terezinha;12686;12686;32066;11362;1740;1318;42;27
Jardim São Paulo;14550;14550;34660;13037;6146;651;49;25
Casa Verde;12699;12699;32094;15276;4918;1247;50;23
Parque Peruche;18193;18193;50443;10064;5042;3931;44;18
Limão;4378;4378;11911;14281;303;745;42;27
Jardim Primavera;10675;10675;27568;5244;2274;800;64;27
Vila Santa Maria;17000;17000;44941;7290;3734;318;48;19
Cachoeirinha;31330;31330;82731;21896;2112;8346;45;18
Jardim Peri;22375;22375;64197;9793;1850;1884;64;28
Reserva da Cantareira;0;0;0;0;0;0;;
Mandaqui;37743;38372;98247;20735;7193;4032;55;28
Horto Florestal;2792;2792;7994;1265;660;733;55;25
ETA Guaraú;0;0;0;0;0;0;;
Parque Palmas do Tremembé;10419;10623;29295;7514;1809;251;48;28
Tremembé;7635;7635;20986;5814;1293;969;57;30
Cantareira;0;0;0;0;0;0;;
Jardim das Pedras;17291;17291;51675;9029;3795;2675;68;39
Jardim Guapira;34997;34997;99491;10940;3318;2924;52;31
Parada Inglesa;14294;14294;35826;7292;3390;1128;47;24
Tucuruvi;6530;6661;17057;6300;1445;367;55;21
Vila Gustavo;19197;19197;49150;19570;3804;3780;43;28
Cohab Jova Rural;9883;9883;29948;3076;1821;2170;49;27
Jaçanã;15387;15387;42510;12689;5097;538;55;21
Parque Edu Chaves;5949;5949;17041;1591;1320;633;38;23
Vila Medeiros;20362;20362;55364;7924;7458;1510;46;15
Jardim Brasil;22586;22586;62431;14648;3785;4736;43;25
Jardim Japão;19114;19114;47435;11745;3398;2533;54;28
Parque Novo Mundo;17647;17647;47849;28326;5307;1470;39;26
Vila Maria;6189;6189;15956;20694;3486;1603;42;36
Vila Isolina Mazzei;16284;16284;42336;18941;3946;2309;39;26
Vila Guilherme;3261;3261;8043;16227;1926;348;42;23
Coroa;1325;1325;3515;8729;190;569;42;25
Gomes Cardim;12914;12914;30940;32290;2432;1605;45;26
Tatuapé;6301;6301;15559;33538;2730;647;45;41
Chácara do Piqueri;10658;10658;25381;21917;2953;1655;38;32
Parque São Jorge;11758;11758;29171;18408;3547;1506;43;21
Penha;15419;15419;42167;30167;3459;748;32;24
Tiquatira;14961;14961;39115;10888;3204;1489;51;22
Vila Esperança;10127;10127;26444;5010;2977;1002;58;21
Vila Ré;10543;10543;28017;7684;2348;792;52;32
Rui Barbosa;17039;17039;46902;5579;2996;66;67;34
Estação Eng. Goulart;13413;13413;36662;4254;4700;1548;53;49
Cangaíba;17445;17445;46655;7539;4241;1171;66;60
Parque Ecológico do Tietê;5232;5232;14461;1346;853;740;49;22
USP Leste I;0;0;0;601;0;0;;
USP Leste II;0;0;0;0;0;0;;
Ermelino Matarazzo;24816;24816;68529;7281;3243;175;76;43
Parque Buturussu;16985;16985;46595;11149;3677;5045;50;24
Ponte Rasa;16694;16694;45868;6880;2246;2603;66;20
Burgo Paulista;16345;16345;46246;5480;3332;4062;46;23
Limoeiro;8239;8239;23686;3538;1671;1197;64;28
Laranja da China;9205;9385;26434;2778;1912;841;73;23
Pedro José Nunes;3664;3664;10111;1809;594;501;59;37
Parque Cruzeiro do Sul;16479;16902;48525;3734;4805;1303;65;33
Vila Jacuí;10139;10139;28767;8681;2471;920;73;28
Parada XV;18108;18108;49905;10000;1997;403;48;36
Itaquera;13325;13838;36307;15141;4357;555;47;31
Arena Corinthians;0;0;0;8178;0;386;;
Vila Campanela;13680;13954;37823;6485;3422;1853;53;29
Araucárias;8734;8734;25171;3840;1254;811;51;32
Parque Guarani;8999;8999;26608;4584;2019;1291;65;38
Rio Verde;14508;14508;40388;8724;1960;2265;50;20
Saudade;12095;12095;33600;3306;927;2492;65;19
São Miguel Paulista;8271;8271;23395;6738;1799;533;53;31
Cidade Nitro-Operária;9294;9466;26029;23056;1330;777;66;26
Jardim Helena;33916;33916;99634;8787;7859;7047;76;21
Jardim Romano;11421;11421;32990;3229;1524;238;67;30
Vila Curuçá;24319;24319;69129;6954;2737;2294;64;32
Jardim Robru;25802;26758;75039;8923;3823;3332;81;15
Lajeado;18131;18131;53056;3537;4456;3619;61;24
Fábrica Bandeirantes;39609;39609;115420;16778;11742;4154;73;38
Fazenda Itaim;33553;33553;97509;11417;6844;4952;73;22
Itaim Paulista;13921;14199;39442;12057;4652;1864;74;25
Jardim das Oliveiras;25168;25168;73445;9533;3432;4515;76;44
Vila Califórnia;17147;17147;45152;28956;5945;988;65;28
Vila Carrão;15623;15623;41342;12563;2787;2868;45;28
Jardim Anália Franco;13155;13155;34111;16197;3131;2947;50;24
Vila Formosa;22957;22957;60366;11746;5131;1265;56;28
Barreira Grande;15473;15473;43397;9441;5932;3892;47;21
Aricanduva;17618;17618;48403;18637;2901;3154;57;31
Frei Mont'Alverne;9782;9782;26167;11888;4051;1503;55;31
Vila Matilde;15120;15120;40156;12691;4040;1822;65;25
Cidade Patriarca;14696;14696;39808;7707;2664;2623;58;17
Cidade A.E.Carvalho;11789;11789;32040;6132;959;1690;57;30
Artur Alvim;24960;24960;65910;11836;3332;165;42;25
Cidade Líder;17251;17251;49039;4203;2323;3419;72;27
Santa Marcelina;12258;12489;35367;5714;3114;840;58;25
Parque Savoy;19948;19948;55650;15096;5525;3800;44;34
Vila Carmosina;17187;17187;47798;10103;4503;2776;58;32
Fazenda Caguaçu;10252;10457;28734;7139;1200;1322;65;38
Parque do Carmo;0;0;0;1354;0;0;;
Gleba do Pêssego;16229;16229;47022;11735;3520;4029;71;30
José Bonifácio;30599;30599;84407;7413;4164;1765;56;32
Guaianases;22665;22665;64071;20222;432;1438;72;33
Juscelino Kubitschek;16718;16718;47961;2917;2729;3625;69;27
Cidade Tiradentes;46465;48014;134180;14958;4766;3833;82;27
Santa Etelvina;22744;22744;64822;12129;1814;2679;81;33
Terceira Divisão;16793;17044;49146;4794;1253;5708;70;51
Iguatemi;15855;16149;46829;4095;4194;2309;72;27
Sítio Carrãozinho;19927;20265;57445;6332;1576;1476;62;34
Parque São Rafael;25411;25790;75832;5688;7629;3009;72;31
Rodolfo Pirani;26909;26909;75994;11615;5382;793;54;34
Ipiranga;4988;4988;12072;11510;1503;310;41;23
Sacomã;4788;4837;11084;12013;1399;177;43;31
Alto do Ipiranga;8339;8339;20023;10172;2122;614;50;25
Vila São José;5877;5877;14764;17265;1848;283;49;24
Vila Monumento;8165;8165;20456;13282;756;1271;47;18
Vila Independência;4275;4275;10864;11126;676;455;68;22
Vila Carioca;11040;11256;29897;11044;6338;660;41;10
Moinho Velho;18455;18455;45794;22799;2960;1566;57;23
Vila Heliópolis;24260;24260;67180;10767;3534;321;46;26
São João Clímaco;9482;9482;25081;3041;795;433;42;31
Anchieta;11361;11361;30196;3515;3329;1212;55;30
Vila das Mercês;37355;37355;99681;16368;3792;467;45;28
Parque do Estado;0;0;0;907;0;0;;
Água Funda;14521;14521;39120;4909;2333;571;37;24
Jardim da Saúde;7568;7568;19888;10642;4956;498;59;22
Vila Gumercindo;10172;10172;25031;4874;1922;0;28;29
Jardim Previdência;8074;8074;21686;3679;1853;779;45;27
Tamanduateí;2056;2056;5606;5264;236;157;48;26
Orfanato;14195;14195;35158;27704;4457;1055;58;24
Vila Zelina;26984;26984;67552;15442;1433;4746;54;31
Linhas Corrente;11248;11460;27883;3804;3607;1029;48;24
Vila Ema;17376;17698;44393;5614;4624;1631;51;38
Parque São Lucas;25735;25735;69192;8834;9584;6414;62;32
Vila Cardoso Franco;12126;12369;34701;3492;1185;1024;69;29
Parque Santa Madalena;15341;15341;43276;4177;708;2397;64;28
Jardim Colorado;19211;19211;53479;14797;5365;2765;60;40
Teotônio Vilela;28504;28504;79176;9873;6226;1864;50;22
Fazenda da Juta;21875;21875;62710;13981;4967;2325;67;32
São Mateus;22843;23739;64306;25585;3008;6673;68;16
Cidade IV Centenário;15389;15389;42838;12863;3520;1621;66;18
Rio Claro;7163;7303;20014;1774;1310;369;59;24
Cidade Satélite;11723;11723;32392;13505;2867;664;81;21
Joaquim Nabuco;5074;5108;12903;6923;1285;872;43;26
Vieira de Moraes;13074;13074;29352;16520;2371;1498;39;23
Campo Belo;4434;4434;9486;11265;661;374;44;21
Congonhas;0;0;0;12644;0;93;;
Jardim Aeroporto;8951;8951;21083;9964;2162;3268;49;27
Vila Santa Catarina;24071;24071;61865;14189;2624;2940;42;30
Jabaquara;12769;12769;31810;37290;3570;1352;42;21
Cidade Vargas;15729;15729;38452;13871;2000;2465;43;26
Jardim Bom Clima;32362;32362;88181;10722;3046;2670;61;23
Cupecê;22132;22132;57629;12012;5448;2651;66;22
Jardim Miriam;44311;44557;122947;14294;5350;5634;66;33
Vila Missionária;27199;28011;74833;5189;6417;2703;51;45
Jurubatuba;9872;9872;25563;20434;1260;662;55;40
Vila São Pedro;15464;15464;39645;16208;2929;141;44;24
Campo Grande;13596;13596;36235;15264;1555;2725;53;35
Vila Sabará;6660;6660;17362;5512;1673;1029;50;40
Mar Paulista;18736;19111;52453;7356;2598;956;66;43
Pedreira;39807;40470;115198;7344;7464;11786;62;34
Vila Socorro;4637;4637;11511;21552;687;1562;56;29
Parque Interlagos;10284;10284;27485;15932;1714;1140;52;31
Jardim Represa;6392;6643;18261;9026;1590;783;59;28
Rio Bonito;16095;16095;44846;14606;2759;3221;49;26
SESC Interlagos;18516;18516;52880;8027;5847;3001;56;37
Jardim Presidente;25592;26066;71006;5779;7096;9654;53;29
Vila Natal;22361;23255;65079;6430;3076;5962;70;29
Grajaú;27533;27533;76903;10936;6650;3168;65;40
Cocaia;35560;36068;101771;8715;9906;15968;86;42
Belmira Marin;44142;44878;129341;13201;13290;9943;79;36
Bororé;7169;7456;21341;389;956;1034;69;63
Jaceguava;2122;2122;6321;1313;474;975;65;36
Parelheiros;50332;50670;151193;25260;13866;20128;74;32
Marsilac;5040;5184;11727;401;582;948;71;49
Jardim Emburá;0;0;0;86;0;0;;
Granja Julieta;17730;17730;41686;111333;5487;3908;47;25
Chácara Flora;4684;4684;12550;24733;467;312;49;28
Santo Amaro;7788;7788;19007;24917;2691;259;48;23
Vila Miranda;5814;5814;14227;28226;1139;688;42;28
Jardim São Luís;26764;28905;73405;19737;3534;2610;55;31
Centro Empresarial;41660;41660;113649;15763;6192;5285;70;30
Guarapiranga;28475;28475;78768;8322;2683;1678;72;39
Jardim Capela;39292;41019;114145;13036;3680;5916;69;65
Riviera;14011;15358;39532;2693;1914;1161;79;44
Jardim Turquesa;21566;21566;60864;2341;3822;3486;74;37
Morro do Índio;9277;9277;25981;4267;1831;668;69;39
Jardim Ângela;28552;28998;78648;12211;3941;5996;71;44
Capão Redondo;14988;14988;39927;10326;1725;6540;45;20
Jardim Sônia Ingá;7973;7973;21032;2240;1487;2081;69;36
Adventista;35285;35285;96360;10629;10557;7139;71;37
Parque Fernanda;43248;43248;120175;14733;4520;7455;70;28
Morumbi;5950;6030;12869;18088;1156;734;46;27
Jóquei Clube;1114;1123;2645;9338;436;316;41;29
Fazenda Morumbi;8484;8484;21066;16001;4835;881;47;27
Real Parque;3470;3470;8196;17956;1034;402;64;24
Paraisópolis;27377;27377;74358;8254;2040;5136;54;24
Jardim Vitória Régia;16670;16670;39963;20879;2865;2478;48;27
Vila Suzana;23895;23895;58539;17596;4175;779;33;25
Parque Arariba;25994;26514;69730;6917;2286;3528;54;32
Jardim Mitsutani;26649;26649;72054;7114;8145;3652;66;37
Pirajussara;14202;14202;39209;10153;1812;5391;56;26
Jardim Umarizal;22812;22812;61036;4145;3888;836;65;18
Portal do Morumbi;9886;9886;25962;6982;3379;553;47;28
Jardim Jussara;9130;9130;22831;10168;3710;412;63;25
Vila Sônia;12479;12479;32057;17093;4192;336;33;27
Jardim Maria do Carmo;17163;17163;45973;8257;4223;893;67;43
Jardim Cambará;17365;17365;47802;10514;3476;5306;63;27
Jardim João XXIII;15913;15913;44948;8267;5948;3239;45;28
Raposo Tavares;10515;10515;27913;5804;2494;1586;49;36
Rio Pequeno;16054;16054;42401;8735;5586;2909;56;29
Jardim Ester Yolanda;15031;15031;41509;6346;4213;3372;57;26
Jardim Adalgiza;18417;18778;50992;9640;4666;1263;79;33
Parque Continental;8927;8927;22031;8357;1552;836;51;35
Jaguaré;12668;12668;34727;19234;1615;1775;61;28
Cidade Universitária;0;0;0;26926;0;0;;
Butantã;3211;3211;7406;18405;745;351;38;27
Jardim Caxingui;3919;3919;9403;3522;933;417;47;23
Jardim Bonfiglioli;15914;15914;36191;12372;787;770;35;25
