id_zona;id_tipo;quantidade_viagens_produzidas;quantidade_viagens_atraidas
92;2;17191;17230
93;1;44819;43994
93;2;21118;21462
94;1;17843;18410
94;2;14812;14587
95;1;7025;6516
95;2;19375;19430
96;1;10829;10971
96;2;15778;16247
97;1;6483;6508
97;2;15404;15187
98;1;4871;4825
98;2;8998;9273
99;1;13921;14170
99;2;11580;11490
100;1;62638;63725
100;2;48184;47334
101;1;13473;13608
101;2;11664;11708
102;1;10996;10584
102;2;13851;14519
103;1;2805;3705
103;2;3696;5137
104;1;2543;2966
104;2;5246;5228
105;1;8378;8388
105;2;15796;15967
106;1;13383;14849
106;2;10510;10549
107;1;14675;14953
107;2;19004;18116
108;1;8353;10559
108;2;10768;10647
109;1;60909;60233
109;2;72216;73411
110;1;48104;46702
110;2;23956;25587
111;1;21065;21454
111;2;38619;37915
112;1;19827;19893
112;2;24199;24325
113;1;16191;16042
113;2;27034;26516
114;1;0;0
114;2;0;0
115;1;37256;37356
115;2;27005;26238
116;1;103836;106745
116;2;44182;42757
117;1;36284;34193
117;2;33322;33447
118;1;7674;7365
118;2;4877;5263
119;1;60434;61013
119;2;25106;26096
120;1;0;0
120;2;0;0
121;1;46246;46160
121;2;14135;13013
122;1;28160;28650
122;2;2712;2290
123;1;30320;30020
123;2;18350;18212
124;1;31391;29374
124;2;26487;27114
125;1;31821;31241
125;2;22773;25164
126;1;22480;22979
126;2;21097;21142
127;1;43963;42814
127;2;41623;41080
128;1;10475;10493
128;2;12574;12183
129;1;16695;18093
129;2;14788;15495
130;1;5006;4629
130;2;3843;4205
131;1;11632;11203
131;2;6804;5677
132;1;4866;4044
132;2;4761;5851
133;1;24941;25214
133;2;37240;36928
134;1;24935;24010
134;2;28767;30994
135;1;29735;30892
135;2;35756;34918
136;1;25533;26627
136;2;29677;28614
137;1;21337;21018
137;2;25806;25873
138;1;14510;14827
138;2;10245;10245
139;1;15944;16713
139;2;22853;22122
140;1;25503;25215
140;2;9103;8879
141;1;41091;38551
141;2;34267;37913
142;1;40185;40483
142;2;5542;5299
143;1;0;0
143;2;0;0
144;1;50194;50847
144;2;80127;76116
145;1;5501;5341
145;2;4459;4610
146;1;0;0
146;2;0;0
147;1;18066;17600
147;2;15489;15668
148;1;14230;15162
148;2;12467;12288
149;1;0;0
149;2;280;280
150;1;36685;35790
150;2;7525;7525
151;1;41743;43497
151;2;33272;28294
152;1;24699;25387
152;2;27675;26891
153;1;10062;10159
153;2;17484;17233
154;1;39873;37676
154;2;36170;38563
155;1;15541;15403
155;2;6203;6203
156;1;22781;23414
156;2;37247;36869
157;1;10952;10748
157;2;3707;3771
158;1;17326;17585
158;2;24796;23616
159;1;32338;32675
159;2;35020;33586
160;1;18175;20150
160;2;20702;21116
161;1;24186;24141
161;2;28765;29052
162;1;11620;11369
162;2;18365;17800
163;1;23374;22976
163;2;31189;31504
164;1;9346;9697
164;2;9430;9204
165;1;14310;12818
165;2;4482;4366
166;1;41620;41340
166;2;43596;43574
167;1;52321;52437
167;2;39658;39765
168;1;39873;39343
168;2;23771;23509
169;1;49033;48475
169;2;31954;32420
170;1;48124;49572
170;2;38482;36226
171;1;23095;22561
171;2;24382;24442
172;1;21962;22446
172;2;11953;11510
173;1;12824;12511
173;2;9640;10523
174;1;27805;27852
174;2;6897;6897
175;1;14494;14153
175;2;4939;5077
176;1;24090;23720
176;2;11042;11576
177;1;7826;6916
177;2;5199;5155
178;1;1406;1944
178;2;100;63
179;1;0;0
179;2;0;0
180;1;39709;38704
180;2;18653;18236
181;1;34097;34061
181;2;21683;21715
182;1;20097;21059
182;2;28519;28656
183;1;26185;25697
183;2;16901;16461
184;1;13796;13506
184;2;7916;7916
185;1;10655;11058
185;2;11047;11235
186;1;4777;4161
186;2;6528;6729
187;1;22781;21985
187;2;14017;14845
188;1;26457;27466
188;2;24459;24123
189;1;34815;35152
189;2;10541;11178
190;1;30445;30938
190;2;23312;22599
191;1;19328;19060
191;2;14891;15598
192;1;18013;16992
192;2;13181;13968
193;1;14704;13808
193;2;6779;7366
194;1;13423;14196
194;2;6816;6226
195;1;21339;20162
195;2;14200;16770
196;1;12335;12240
196;2;17956;17830
197;1;19925;21085
197;2;13741;13330
198;1;40579;40034
198;2;24534;24610
199;1;41181;41254
199;2;25341;25566
200;1;22014;22007
200;2;4969;4969
201;1;32310;31599
201;2;14048;15108
202;1;38382;38442
202;2;44500;43146
203;1;26774;27468
203;2;8274;8274
204;1;52055;48075
204;2;33402;34991
205;1;45383;43795
205;2;19047;19017
206;1;28658;27995
206;2;22177;20661
207;1;36857;35822
207;2;32584;31028
208;1;34791;36309
208;2;31294;30243
209;1;21374;20804
209;2;34956;35348
210;1;30699;29609
210;2;26296;27884
211;1;26510;26176
211;2;33136;34750
212;1;24265;23561
212;2;18422;18801
213;1;29553;29985
213;2;30159;30604
214;1;15945;16016
214;2;17885;17647
215;1;22815;21956
215;2;22876;23624
216;1;16726;16787
216;2;23155;24582
217;1;14953;14953
217;2;9860;9860
218;1;37103;37739
218;2;27018;25341
219;1;17883;17352
219;2;29785;30289
220;1;16753;15788
220;2;15951;16871
221;1;23983;25800
221;2;28238;26061
222;1;26016;25355
222;2;29287;28193
223;1;19646;20221
223;2;12982;11415
224;1;1926;1926
224;2;4420;4420
225;1;26269;26936
225;2;15956;15956
226;1;54405;54937
226;2;31172;31359
227;1;38188;43247
227;2;21291;17439
228;1;24316;26408
228;2;6200;6080
229;1;70528;69372
229;2;39758;39041
230;1;33322;33711
230;2;17272;16302
231;1;25976;25976
231;2;13963;13963
232;1;21904;21526
232;2;21625;23106
233;1;33356;33625
233;2;22159;22318
234;1;23301;24005
234;2;20069;19402
235;1;24657;27070
235;2;20053;20053
236;1;14760;13597
236;2;12241;13816
237;1;11866;13190
237;2;19075;19173
238;1;11924;12005
238;2;14750;14574
239;1;27909;27916
239;2;18741;19001
240;1;14625;14414
240;2;22768;21366
241;1;11465;11472
241;2;15849;15994
242;1;12879;13133
242;2;17090;16900
243;1;26647;28499
243;2;37370;38121
244;1;34426;31095
244;2;19501;19756
245;1;4207;4501
245;2;9403;9791
246;1;17509;16965
246;2;9678;10385
247;1;42222;42316
247;2;26128;25636
248;1;1120;1120
248;2;375;375
249;1;20108;19343
249;2;12865;13590
250;1;11542;9974
250;2;27661;28373
251;1;7922;7794
251;2;15890;16027
252;1;11260;11327
252;2;17230;17439
253;1;3730;3816
253;2;4956;4557
254;1;47593;47945
254;2;37501;39406
255;1;21862;21065
255;2;38665;39005
256;1;12419;11794
256;2;21773;20212
257;1;23568;22959
257;2;15218;15371
258;1;23674;24588
258;2;22659;23884
259;1;14597;14345
259;2;9025;8893
260;1;28639;28801
260;2;14721;14943
261;1;38024;39867
261;2;22491;21285
262;1;32486;32342
262;2;12099;11867
263;1;29019;27496
263;2;21269;22566
264;1;41137;40646
264;2;44564;44461
265;1;29225;27931
265;2;23654;24115
266;1;9217;8778
266;2;9323;9304
267;1;14616;13076
267;2;21961;22567
268;1;10388;10061
268;2;14935;15112
269;1;13162;12695
269;2;31672;30345
270;1;5964;5573
270;2;13725;14216
271;1;6192;7237
271;2;8348;7486
272;1;12470;12840
272;2;22630;22178
273;1;33448;33270
273;2;31298;31827
274;1;46258;48065
274;2;35500;38662
275;1;32929;32921
275;2;27747;28605
276;1;46653;45289
276;2;63462;62183
277;1;16821;17146
277;2;44580;44710
278;1;73593;75039
278;2;32322;31888
279;1;35760;39122
279;2;18742;15858
280;1;23856;23886
280;2;26607;27467
281;1;20538;21067
281;2;29079;28809
282;1;16951;18716
282;2;25282;24367
283;1;5629;4784
283;2;12749;12382
284;1;34231;34802
284;2;17656;17098
285;1;45152;41728
285;2;27594;28108
286;1;24190;23929
286;2;14005;14586
287;1;22974;22557
287;2;24529;24941
288;1;17484;17091
288;2;22887;23566
289;1;34375;34668
289;2;33707;33686
290;1;42078;40459
290;2;16675;17117
291;1;45185;44176
291;2;25352;24702
292;1;33478;33212
292;2;16289;17111
293;1;33822;33789
293;2;16432;18293
294;1;40777;39092
294;2;15486;17058
295;1;62862;60750
295;2;23217;22630
296;1;3437;3325
296;2;2100;2100
297;1;3164;3582
297;2;4024;3610
298;1;102011;99804
298;2;33786;30638
299;1;5890;5853
299;2;2091;2175
300;1;102;102
300;2;10;10
301;1;85063;85637
301;2;68176;70326
302;1;23011;23487
302;2;22783;22990
303;1;44031;44117
303;2;27411;28178
304;1;30638;29939
304;2;19768;19522
305;1;59984;59469
305;2;34912;33124
306;1;64570;63626
306;2;38355;36609
307;1;43309;41348
307;2;19531;19531
308;1;58279;58832
308;2;21459;21508
309;1;24737;25310
309;2;11104;10767
310;1;35058;32945
310;2;6869;6906
311;1;9330;9973
311;2;2969;3687
312;1;49029;48693
312;2;24891;24476
313;1;27654;30049
313;2;26844;27662
314;1;17693;16816
314;2;7799;7799
315;1;47120;44787
315;2;28978;31212
316;1;55846;54591
316;2;23776;25631
317;1;14446;14064
317;2;22297;22093
318;1;3825;3708
318;2;11845;11699
319;1;13833;14709
319;2;24206;24399
320;1;10566;10102
320;2;27564;27582
321;1;29272;29945
321;2;28027;28273
322;1;23965;26313
322;2;44466;42937
323;1;25895;25674
323;2;52940;51343
324;1;45271;47414
324;2;27842;27869
325;1;33941;35090
325;2;19331;18711
326;1;24216;23752
326;2;30940;32628
327;1;27506;25604
327;2;21498;24778
328;1;8019;7739
328;2;22371;22679
329;1;10818;8898
329;2;15769;15792
330;1;19924;20324
330;2;29098;28595
331;1;13427;11989
331;2;14289;16112
332;1;19528;19862
332;2;24850;24732
333;1;22487;22405
333;2;20113;19546
334;1;9760;8435
334;2;10628;11938
335;1;20693;18537
335;2;16017;17609
336;1;13204;12919
336;2;30122;27934
337;1;16099;17905
337;2;48384;48511
338;1;10972;11245
338;2;20081;20045
339;1;24398;23879
339;2;11941;12653
340;1;35943;37213
340;2;25050;24734
341;1;10142;11177
341;2;20911;19323
342;1;7842;5735
342;2;11710;13082
343;1;12105;12937
343;2;26168;25902
